Country,Year,fertility,life,population,child_mortality,gdp,region
Angola,2002,6.78,46.7,14890474,211.7,3759,Sub-Saharan Africa
Angola,2003,6.74,47.4,15419943,209.2,3819,Sub-Saharan Africa
Angola,2004,6.70,48.0,15957460,206.7,4087,Sub-Saharan Africa
Angola,2005,6.66,48.6,16489021,203.9,4667,Sub-Saharan Africa
Angola,2006,6.60,49.0,17010366,200.5,5445,Sub-Saharan Africa
Angola,2007,6.52,49.5,17525367,196.4,6453,Sub-Saharan Africa
Angola,2008,6.43,49.9,18037964,192.0,7103,Sub-Saharan Africa
Angola,2009,6.33,50.3,18555115,187.3,7039,Sub-Saharan Africa
Angola,2010,6.22,50.7,19081912,182.5,7047,Sub-Saharan Africa
Angola,2011,6.10,51.1,19618432,177.3,7094,Sub-Saharan Africa
Angola,2012,5.98,51.5,20162517,172.2,7230,Sub-Saharan Africa
Angola,2013,5.86,51.9,20714494,167.1,7488,Sub-Saharan Africa
Antigua and Barbuda,1964,4.25,63.8,58653,72.8,5008,America
Antigua and Barbuda,1965,4.19,64.1,59844,69.9,5133,America
Antigua and Barbuda,1966,4.13,64.5,61032,66.7,5262,America
Antigua and Barbuda,1967,4.04,64.9,62226,63.5,5393,America
Antigua and Barbuda,1968,3.94,65.2,63401,61.0,5528,America
Antigua and Barbuda,1969,3.82,65.6,64528,58.2,5666,America
Antigua and Barbuda,1970,3.68,65.9,65587,55.9,5807,America
Antigua and Barbuda,1971,3.52,66.2,66554,53.7,6088,America
Antigua and Barbuda,1972,3.33,66.6,67419,51.4,6378,America
Antigua and Barbuda,1973,3.12,66.9,68182,49.4,6770,America
Antigua and Barbuda,1974,2.91,67.2,68848,47.6,6888,America
Antigua and Barbuda,1975,2.70,67.5,69420,45.8,6458,America
Antigua and Barbuda,1976,2.51,67.8,69910,44.0,5885,America
Antigua and Barbuda,1977,2.36,68.1,70301,42.2,6371,America
Antigua and Barbuda,1978,2.24,68.3,70533,40.8,6691,America
Antigua and Barbuda,1979,2.16,68.6,70525,39.2,7536,America
Antigua and Barbuda,1980,2.12,68.9,70228,37.5,8169,America
Antigua and Barbuda,1981,2.10,69.1,69639,36.0,8689,America
Antigua and Barbuda,1982,2.10,69.4,68803,34.6,8827,America
Antigua and Barbuda,1983,2.10,69.7,67792,33.2,9540,America
Antigua and Barbuda,1984,2.10,69.9,66701,31.8,10388,America
Antigua and Barbuda,1985,2.09,70.2,65614,30.5,11383,America
Antigua and Barbuda,1986,2.08,70.4,64539,29.3,12600,America
Antigua and Barbuda,1987,2.07,70.7,63510,28.1,14027,America
Antigua and Barbuda,1988,2.06,70.9,62669,27.0,15441,America
Antigua and Barbuda,1989,2.06,71.1,62192,25.9,16611,America
Antigua and Barbuda,1990,2.06,71.4,62202,25.5,17154,America
Antigua and Barbuda,1991,2.07,71.6,62754,24.2,17361,America
Antigua and Barbuda,1992,2.10,71.8,63802,23.1,17226,America
Antigua and Barbuda,1993,2.13,72.0,65238,21.9,17753,America
Antigua and Barbuda,1994,2.17,72.2,66895,20.8,18400,America
Antigua and Barbuda,1995,2.21,72.4,68642,19.7,17167,America
Antigua and Barbuda,1996,2.25,72.7,70450,18.8,17830,America
Antigua and Barbuda,1997,2.28,72.9,72322,17.9,18186,America
Antigua and Barbuda,1998,2.30,73.1,74190,17.0,18483,America
Antigua and Barbuda,1999,2.32,73.3,75985,16.2,18780,America
Antigua and Barbuda,2000,2.32,73.5,77656,15.5,19319,America
Antigua and Barbuda,2001,2.31,73.8,79165,14.8,18388,America
Antigua and Barbuda,2002,2.29,74.0,80507,14.1,18676,America
Antigua and Barbuda,2003,2.27,74.2,81716,13.5,19566,America
Antigua and Barbuda,2004,2.25,74.4,82838,12.9,20395,America
Antigua and Barbuda,2005,2.22,74.5,83916,12.4,21414,America
Antigua and Barbuda,2006,2.20,74.7,84952,11.8,24016,America
Antigua and Barbuda,2007,2.18,74.9,85935,11.3,26008,America
Antigua and Barbuda,2008,2.16,75.1,86881,10.9,25736,America
Antigua and Barbuda,2009,2.15,75.3,87802,10.4,22389,America
Antigua and Barbuda,2010,2.13,75.4,88710,9.9,20567,America
Antigua and Barbuda,2011,2.12,75.6,89612,9.5,19988,America
Antigua and Barbuda,2012,2.10,75.8,90510,9.1,20577,America
Antigua and Barbuda,2013,2.09,76.0,91404,8.7,20353,America
Argentina,1964,3.07,65.4,21966478,57.4,8227,America
Argentina,1965,3.06,65.5,22296628,57.4,8818,America
Argentina,1966,3.05,65.6,22622012,58.6,8709,America
Argentina,1967,3.05,65.8,22944941,58.5,8782,America
Argentina,1968,3.05,66.0,23273148,58.3,9003,America
Argentina,1969,3.06,66.2,23616971,73.2,9610,America
Argentina,1970,3.07,66.4,23983358,72.4,9951,America
Argentina,1971,3.10,66.7,24376109,71.5,10167,America
Argentina,1972,3.15,67.0,24791983,70.4,10209,America
Argentina,1973,3.20,67.3,25222223,68.8,10419,America
Argentina,1974,3.26,67.7,25654154,66.6,10809,America
Argentina,1975,3.32,68.0,26078731,63.8,10571,America
Argentina,1976,3.37,68.2,26492716,60.2,10408,America
Argentina,1977,3.39,68.5,26899177,55.9,10918,America
Argentina,1978,3.39,68.9,27303001,51.4,10406,America
Argentina,1979,3.37,69.2,27711808,47.0,10976,America
Argentina,1980,3.33,69.5,28131040,43.1,10982,America
Argentina,1981,3.27,69.7,28561561,40.0,10221,America
Argentina,1982,3.21,70.0,29001060,37.6,9765,America
Argentina,1983,3.16,70.2,29447973,35.8,10030,America
Argentina,1984,3.12,70.4,29899743,34.4,10102,America
Argentina,1985,3.09,70.6,30354240,33.1,9262,America
Argentina,1986,3.07,70.8,30810984,31.9,9810,America
Argentina,1987,3.06,71.0,31269799,30.8,9936,America
Argentina,1988,3.04,71.2,31729130,29.7,9620,America
Argentina,1989,3.02,71.4,32187173,28.6,8820,America
Argentina,1990,2.99,71.6,32642442,27.6,8539,America
Argentina,1991,2.96,71.8,33093579,26.6,9333,America
Argentina,1992,2.92,72.0,33540023,25.7,10130,America
Argentina,1993,2.88,72.3,33982035,24.8,10602,America
Argentina,1994,2.83,72.5,34420352,24.1,11108,America
Argentina,1995,2.77,72.7,34855160,23.4,10673,America
Argentina,1996,2.72,72.9,35287113,22.7,11150,America
Argentina,1997,2.66,73.2,35714929,22.0,11935,America
Argentina,1998,2.60,73.4,36134642,21.4,12268,America
Argentina,1999,2.54,73.6,36541029,20.8,11722,America
Argentina,2000,2.48,73.8,36930709,20.2,11504,America
Argentina,2001,2.42,74.0,37302116,19.7,10875,America
Argentina,2002,2.38,74.2,37657340,19.2,9574,America
Argentina,2003,2.34,74.4,38001251,18.6,10318,America
Argentina,2004,2.31,74.6,38340778,17.9,11135,America
Argentina,2005,2.29,74.8,38681174,17.1,12039,America
Argentina,2006,2.27,75.0,39023850,16.4,12913,America
Argentina,2007,2.25,75.2,39368066,15.8,13873,America
Argentina,2008,2.24,75.4,39714298,15.4,14646,America
Argentina,2009,2.23,75.6,40062470,15.0,14605,America
Argentina,2010,2.22,75.8,40412376,14.6,15765,America
Argentina,2011,2.20,76.0,40764561,14.2,16972,America
Argentina,2012,2.19,76.1,41118986,13.8,17101,America
Argentina,2013,2.18,76.3,41473982,13.3,17629,America
Armenia,1964,4.16,67.7,2138133,66.9,2823,Europe & Central Asia
Armenia,1965,3.98,68.2,2204650,63.6,2945,Europe & Central Asia
Armenia,1966,3.79,68.6,2269475,60.9,3051,Europe & Central Asia
Armenia,1967,3.61,69.0,2332624,63.1,3151,Europe & Central Asia
Armenia,1968,3.45,69.4,2394635,65.5,3300,Europe & Central Asia
Armenia,1969,3.31,69.8,2456370,67.9,3313,Europe & Central Asia
Armenia,1970,3.21,70.1,2518408,70.5,3533,Europe & Central Asia
Armenia,1971,3.12,70.4,2580894,73.1,3589,Europe & Central Asia
Armenia,1972,3.03,70.6,2643464,75.8,3571,Europe & Central Asia
Armenia,1973,2.94,70.7,2705584,78.7,3832,Europe & Central Asia
Armenia,1974,2.85,70.8,2766495,81.6,3871,Europe & Central Asia
Armenia,1975,2.75,70.8,2825650,84.6,3810,Europe & Central Asia
Armenia,1976,2.65,70.8,2882831,87.8,3917,Europe & Central Asia
Armenia,1977,2.56,70.8,2938181,84.3,3937,Europe & Central Asia
Armenia,1978,2.48,70.8,2991954,81.0,3964,Europe & Central Asia
Armenia,1979,2.42,70.9,3044564,77.8,3877,Europe & Central Asia
Armenia,1980,2.39,70.9,3096298,74.8,3815,Europe & Central Asia
Armenia,1981,2.37,70.9,3145885,71.8,3783,Europe & Central Asia
Armenia,1982,2.38,70.8,3192877,69.1,3809,Europe & Central Asia
Armenia,1983,2.41,70.5,3239212,66.4,3862,Europe & Central Asia
Armenia,1984,2.44,70.1,3287588,63.8,3840,Europe & Central Asia
Armenia,1985,2.48,69.7,3339147,61.4,3805,Europe & Central Asia
Armenia,1986,2.52,69.2,3396511,59.0,3890,Europe & Central Asia
Armenia,1987,2.55,68.7,3457054,56.6,3872,Europe & Central Asia
Armenia,1988,2.57,68.3,3510439,81.6,3886,Europe & Central Asia
Armenia,1989,2.57,68.0,3542720,52.0,3889,Europe & Central Asia
Armenia,1990,2.54,67.9,3544695,49.7,3736,Europe & Central Asia
Armenia,1991,2.48,67.9,3512051,47.4,3329,Europe & Central Asia
Armenia,1992,2.40,68.0,3449940,45.1,1973,Europe & Central Asia
Armenia,1993,2.30,68.2,3370373,42.8,1842,Europe & Central Asia
Armenia,1994,2.18,68.5,3290540,40.6,1988,Europe & Central Asia
Armenia,1995,1.80,68.9,3223173,38.6,2169,Europe & Central Asia
Armenia,1996,1.80,69.4,3172185,36.7,2333,Europe & Central Asia
Armenia,1997,1.70,69.9,3134836,34.9,2438,Europe & Central Asia
Armenia,1998,1.50,70.4,3109101,33.2,2636,Europe & Central Asia
Armenia,1999,1.40,71.0,3090624,31.6,2740,Europe & Central Asia
Armenia,2000,1.30,71.5,3076098,30.1,2919,Europe & Central Asia
Armenia,2001,1.20,72.0,3065810,28.6,3214,Europe & Central Asia
Armenia,2002,1.20,72.4,3061067,27.2,3654,Europe & Central Asia
Armenia,2003,1.40,72.8,3060554,25.9,4182,Europe & Central Asia
Armenia,2004,1.40,73.2,3062612,24.6,4635,Europe & Central Asia
Armenia,2005,1.40,73.5,3065954,23.3,5297,Europe & Central Asia
Armenia,2006,1.30,73.7,3069844,22.2,6020,Europe & Central Asia
Armenia,2007,1.40,73.9,3074181,21.1,6877,Europe & Central Asia
Armenia,2008,1.40,74.1,3079087,20.0,7383,Europe & Central Asia
Armenia,2009,1.60,74.2,3084979,19.0,6358,Europe & Central Asia
Armenia,2010,1.55,74.3,3092072,18.0,6508,Europe & Central Asia
Armenia,2011,1.50,74.4,3100236,17.2,6812,Europe & Central Asia
Armenia,2012,1.74,74.5,3108972,16.3,7291,Europe & Central Asia
Armenia,2013,1.74,74.6,3117722,15.5,7527,Europe & Central Asia
Aruba,1964,4.06,67.1,57031,,5505,America
Aruba,1965,3.84,67.4,57362,,5642,America
Aruba,1966,3.63,67.8,57714,,5783,America
Aruba,1967,3.42,68.1,58052,,5927,America
Aruba,1968,3.23,68.4,58388,,6075,America
Aruba,1969,3.05,68.8,58725,,6227,America
Aruba,1970,2.91,69.1,59066,,6382,America
Aruba,1971,2.79,69.5,59439,,6904,America
Aruba,1972,2.69,69.9,59849,,7470,America
Aruba,1973,2.61,70.2,60238,,8084,America
Aruba,1974,2.55,70.5,60524,,8756,America
Aruba,1975,2.51,70.8,60654,,9493,America
Aruba,1976,2.47,71.1,60589,,10305,America
Aruba,1977,2.45,71.4,60366,,11197,America
Aruba,1978,2.43,71.7,60108,,12166,America
Aruba,1979,2.41,72.0,59980,,13194,America
Aruba,1980,2.39,72.3,60099,26.3,14273,America
Aruba,1981,2.38,72.5,60570,25.4,15377,America
Aruba,1982,2.36,72.8,61347,24.6,16508,America
Aruba,1983,2.35,72.9,62208,24.0,17725,America
Aruba,1984,2.34,73.1,62833,23.5,19124,America
Aruba,1985,2.33,73.2,63030,23.1,20789,America
Aruba,1986,2.32,73.3,62645,22.9,22827,America
Aruba,1987,2.31,73.3,61830,22.8,26876,America
Aruba,1988,2.29,73.4,61069,22.6,32328,America
Aruba,1989,2.27,73.4,61026,22.5,36284,America
Aruba,1990,2.25,73.5,62147,22.4,37014,America
Aruba,1991,2.22,73.5,64642,22.2,38310,America
Aruba,1992,2.19,73.5,68286,22.1,38238,America
Aruba,1993,2.15,73.6,72573,22.0,38477,America
Aruba,1994,2.11,73.6,76762,21.9,39318,America
Aruba,1995,2.06,73.6,80323,21.8,38602,America
Aruba,1996,2.02,73.6,83069,21.8,38003,America
Aruba,1997,1.98,73.7,85161,21.7,40312,America
Aruba,1998,1.94,73.7,86827,21.6,42565,America
Aruba,1999,1.91,73.7,88442,21.5,42564,America
Aruba,2000,1.87,73.8,90271,21.4,43703,America
Aruba,2001,1.85,73.9,92363,21.2,42445,America
Aruba,2002,1.83,73.9,94596,20.9,40288,America
Aruba,2003,1.81,74.0,96875,20.6,39246,America
Aruba,2004,1.79,74.2,99046,20.2,41057,America
Aruba,2005,1.77,74.3,100996,19.8,40737,America
Aruba,2006,1.75,74.5,102711,19.4,40209,America
Aruba,2007,1.74,74.6,104225,19.0,40558,America
Aruba,2008,1.73,74.8,105526,18.6,38594,America
Aruba,2009,1.71,74.9,106612,18.2,35573,America
Aruba,2010,1.70,75.1,107488,17.8,33288,America
Aruba,2011,1.69,75.2,108141,17.6,36016,America
Aruba,2012,1.68,75.3,108587,17.3,35419,America
Aruba,2013,1.67,75.5,108883,17.0,36083,America
Australia,1964,3.15,70.7,11122567,22.7,16098,East Asia & Pacific
Australia,1965,2.97,71.0,11359763,22.4,16601,East Asia & Pacific
Australia,1966,2.89,70.8,11617580,22.1,16756,East Asia & Pacific
Australia,1967,2.85,71.1,11892163,22.0,17570,East Asia & Pacific
Australia,1968,2.89,70.7,12175746,21.9,18261,East Asia & Pacific
Australia,1969,2.89,71.1,12457299,21.7,18949,East Asia & Pacific
Australia,1970,2.86,70.8,12728362,21.4,19719,East Asia & Pacific
Australia,1971,2.95,71.4,12987847,20.9,20176,East Asia & Pacific
Australia,1972,2.74,71.9,13236895,20.2,20385,East Asia & Pacific
